연도,파일명,감사사항,감사종류,감사분야,담당부서,분류,관련도,매칭키워드,총매칭수,첫매칭쪽,쪽수,본문글자수,정보화사업,전산시스템,정보시스템,시스템운영,시스템유지관리,참고:정보화,참고:전산,참고:소프트웨어,참고:데이터베이스,참고:홈페이지,참고:정보보안,참고:개인정보,참고:디지털,발췌,형식,ZIP내부파일,오류
2026,20260825_인천지방국세청 정기감사.pdf,인천지방국세청 정기감사,기관정기,재정,재정경제4과,무관,,,0,,138,126753,0,0,0,0,0,0,5,0,0,0,0,0,0,,PDF,,
2026,20260820_시흥시·군포시 기관정기감사.pdf,시흥시·군포시 기관정기감사,기관정기,지방자치단체,지방행정1국3과,관련,낮음(단순언급),정보시스템(2),2,46,80,71071,0,0,2,0,0,0,0,0,0,0,0,0,0,"명서등지방세의부과ㆍ징수와납세의관리에필요한자료)를제출받아표준지방세정보시스템9)(LocalTaxInformationSystem,이하“LTI",PDF,,
2026,20260818_한국수출입은행 정기감사.pdf,한국수출입은행 정기감사,기관정기,금융,산업금융3과,관련,중간,정보시스템(8),8,13,121,133879,0,0,8,0,0,0,0,2,0,0,0,0,1,여원의손실초래-수은은2012년9월콜롬비아보고타의버스교통카드및교통정보시스템구축·운영PF대출을심사하면서버스도입지연위험을과소평가한채대출을취급,PDF,,
2026,20260814_전라북도·세종특별자치시교육청 정기감사.pdf,전라북도·세종특별자치시교육청 정기감사,기관정기,교육,사회복지5과,무관,,,0,,16,12175,0,0,0,0,0,0,0,0,0,0,0,0,0,,PDF,,
2026,20260812_인공지능산업 육성실태Ⅲ(AI 학습용 데이터 구축사업 중심).pdf,인공지능산업 육성실태Ⅲ(AI 학습용 데이터 구축사업 중심),성과,과학기술,미래전략감사2과,관련,낮음(단순언급),"정보화사업(2), 정보시스템(1)",3,52,73,72361,2,0,1,0,0,16,0,4,11,1,0,9,11,"-48-공공데이터법제22조및같은법시행령제17조에근거하여각기관의정보시스템DB데이터의정확성과완전성등을확보하고자하였으나,인공지능시대에맞춰공",PDF,,
2026,20260810_한국마약퇴치운동본부 정기감사.pdf,한국마약퇴치운동본부 정기감사,기관정기,보건/복지,사회복지3과,무관,,,0,,30,24181,0,0,0,0,0,0,0,0,0,0,0,0,0,,PDF,,
2026,20260730_주택도시보증공사 정기감사.pdf,주택도시보증공사 정기감사,기관정기,건설/주택,공공기관2과,관련,중간,전산시스템(6),6,32,144,138601,0,6,0,0,0,0,9,0,0,0,1,1,1,"으로검토하기위해신용평가시스템내모니터링메뉴에자체적합성검증을위한별도전산시스템을마련하였고,같은해4.1.｢신용평가규정｣(당시신용조사및평가규정)",PDF,,
2026,20260728_공공전산망 보안관리 실태(과학기술연구분야).pdf,공공전산망 보안관리 실태(과학기술연구분야),성과,정보통신,디지털감사3과,관련,높음,"정보시스템(37), 시스템운영(1)",38,9,89,73871,0,0,37,1,0,3,3,39,0,6,82,9,1,영규정｣(우주청훈령):우주항공안전센터운영규정￭｢행정기관및공공기관정보시스템구축·운영지침｣(행정안전부고시):정보시스템구축·운영지침3)이부분,PDF,,
2026,20260727_산림청 기관정기감사.pdf,산림청 기관정기감사,기관정기,농림수산해양,산업금융2과,무관,,,0,,23,22908,0,0,0,0,0,0,0,0,0,0,0,0,0,,PDF,,
2026,20260722_부정지출 및 재정누수 점검 Ⅲ (변상명령 등 운영실태).pdf,부정지출 및 재정누수 점검 Ⅲ (변상명령 등 운영실태),특정사안,재정,재정회계1과,무관,,,0,,11,10531,0,0,0,0,0,0,0,0,0,0,0,0,0,,PDF,,
