관련도,연도,파일명,감사사항,감사종류,감사분야,담당부서,총매칭수,매칭키워드,첫매칭쪽,쪽수,발췌,경로
높음(제목일치),2025,20250930_대국민 행정정보시스템 구축·운영실태.pdf,대국민 행정정보시스템 구축·운영실태,성과,정보통신,디지털감사1과,735,"정보화사업(17), 정보시스템(596), 시스템운영(32), 시스템유지관리(90)",1,227,성과감사감사보고서-대국민행정정보시스템구축·운영실태-2025.8.감사원,1_높음_제목일치\20250930_대국민 행정정보시스템 구축·운영실태.pdf
높음(제목일치),2017,20170919_국토ㆍ환경분야 정보시스템 구축 및 활용실태.zip,국토ㆍ환경분야 정보시스템 구축 및 활용실태,특정사안,정보통신,,354,"정보화사업(36), 전산시스템(1), 정보시스템(253), 시스템운영(40), 시스템유지관리(24)",1,171,특정감사감사보고서-국토·환경분야정보시스템구축및활용실태-2017.8.감사원,1_높음_제목일치\20170919_국토ㆍ환경분야 정보시스템 구축 및 활용실태.zip
높음(제목일치),2024,20240523_지능정보화사업 추진실태(지능정보사회 실행계획 추진체계를 중심으로).pdf,지능정보화사업 추진실태(지능정보사회 실행계획 추진체계를 중심으로),성과,정보통신,재정경제2과,296,"정보화사업(135), 전산시스템(1), 정보시스템(149), 시스템운영(11)",1,158,성과감사감사보고서-지능정보화사업추진실태-(지능정보사회실행계획추진체계를중심으로)2024.4.감사,1_높음_제목일치\20240523_지능정보화사업 추진실태(지능정보사회 실행계획 추진체계를 중심으로).pdf
높음(제목일치),2024,20240730_차세대 사회보장정보시스템 구축사업 추진실태.pdf,차세대 사회보장정보시스템 구축사업 추진실태,성과,보건/복지,사회복지1과,238,"정보화사업(21), 전산시스템(1), 정보시스템(213), 시스템운영(3)",1,176,성과감사감사보고서차세대사회보장정보시스템구축사업추진실태2024.7.감사원,1_높음_제목일치\20240730_차세대 사회보장정보시스템 구축사업 추진실태.pdf
높음(제목일치),2024,20240827_공적개발원조 정보화사업 등 추진실태.pdf,공적개발원조 정보화사업 등 추진실태 ,특정사안,외교,외교국방1과,224,"정보화사업(20), 정보시스템(193), 시스템운영(10), 시스템유지관리(1)",1,132,특정사안감사감사보고서공적개발원조정보화사업등추진실태2024.7.감사원,1_높음_제목일치\20240827_공적개발원조 정보화사업 등 추진실태.pdf
높음(제목일치),2016,20160818_주요 정보화사업 계약업무 추진실태.hwp,주요 정보화사업 계약업무 추진실태,특정사안,정보통신,,218,"정보화사업(104), 정보시스템(100), 시스템운영(11), 시스템유지관리(3)",5,9493,-주요정보화사업계약업무추진실태-,1_높음_제목일치\20160818_주요 정보화사업 계약업무 추진실태.hwp
높음(제목일치),2024,20240924_한국건강가정진흥원의 정보시스템 부실 구축 등 관련.pdf,한국건강가정진흥원의 정보시스템 부실 구축 등 관련,국민제안,정보통신,국민제안1국1과,111,"정보화사업(19), 정보시스템(87), 시스템운영(5)",1,41,국민제안감사감사보고서-한국건강가정진흥원의정보시스템부실구축등관련-2024.9.감사원,1_높음_제목일치\20240924_한국건강가정진흥원의 정보시스템 부실 구축 등 관련.pdf
높음(제목일치),2017,20170307_교육정보시스템 구축·운영 실태.hwp,교육정보시스템 구축·운영 실태,특정사안,교육,,89,"정보화사업(11), 정보시스템(56), 시스템운영(19), 시스템유지관리(3)",5,2430,-교육정보시스템구축·운영실태-,1_높음_제목일치\20170307_교육정보시스템 구축·운영 실태.hwp
높음(제목일치),2018,20180104_재난안전정보시스템 구축 및 운영실태.pdf,재난안전정보시스템 구축 및 운영실태,특정사안,정보통신,,46,"전산시스템(5), 정보시스템(35), 시스템운영(5), 시스템유지관리(1)",1,61,특정감사감사보고서-재난안전정보시스템구축및운영-2017.12.감사원,1_높음_제목일치\20180104_재난안전정보시스템 구축 및 운영실태.pdf
높음(제목일치),2017,20170118_국세정보시스템 활용 및 보안 실태.hwp,국세정보시스템 활용 및 보안 실태,특정사안,국세,,40,"정보화사업(1), 전산시스템(2), 정보시스템(35), 시스템운영(2)",5,2893,-국세정보시스템활용및보안실태-,1_높음_제목일치\20170118_국세정보시스템 활용 및 보안 실태.hwp
높음(제목일치),2023,20230130_고위공직자범죄수사처 형사사법정보시스템 연계 추진실태.pdf,고위공직자범죄수사처 형사사법정보시스템 연계 추진실태,국민제안,정보통신,행정안전2과,33,"전산시스템(1), 정보시스템(26), 시스템운영(5), 시스템유지관리(1)",1,38,국민제안감사감사보고서-고위공직자범죄수사처형사사법정보시스템연계추진실태-2023.1.감사원,1_높음_제목일치\20230130_고위공직자범죄수사처 형사사법정보시스템 연계 추진실태.pdf
높음(제목일치),2017,20170822_기상예보 및 지진통보 시스템 운영실태.pdf,기상예보 및 지진통보 시스템 운영실태,특정사안,과학기술,국토환경3과,8,"전산시스템(1), 정보시스템(3), 시스템운영(4)",1,203,특정감사감사보고서-기상예보및지진통보시스템운영실태-2017.7.감사원,1_높음_제목일치\20170822_기상예보 및 지진통보 시스템 운영실태.pdf
높음(제목일치),2016,20161221_기업금융시스템 운영 및 감독실태.hwp,기업금융시스템 운영 및 감독실태,특정사안,금융,산업금융3과,4,"전산시스템(2), 시스템운영(2)",5,11084,-기업금융시스템운영및감독실태-,1_높음_제목일치\20161221_기업금융시스템 운영 및 감독실태.hwp
높음,2025,20250530_2024회계연도 국가결산검사.zip,2024회계연도 국가결산검사,재무,재정,재정회계2과,246,"정보화사업(86), 전산시스템(2), 정보시스템(151), 시스템운영(7)",10,1545,진실태414.지방자치단체주요재정투자사업추진실태525.공적개발원조정보화사업등추진실태636.서민주거안정시책추진실태807.SOCⅣ-1철도(설,2_높음\20250530_2024회계연도 국가결산검사.zip
높음,2020,20200601_2019회계연도 국가결산검사.zip,2019회계연도 국가결산검사,재무,재정,,169,"정보화사업(8), 전산시스템(11), 정보시스템(131), 시스템운영(18), 시스템유지관리(1)",40,2089,"래행위에대한건-2016.11.3.승소11,00023-발주포항버스정보시스템구축용역4차사업입찰관련3개사업자의부당한공동행위에대한건-2016.",2_높음\20200601_2019회계연도 국가결산검사.zip
높음,2024,20240530_2023회계연도 국가결산검사.zip,2023회계연도 국가결산검사,재무,재정,재정회계1과,139,"정보화사업(63), 전산시스템(2), 정보시스템(69), 시스템운영(5)",10,1668,주요재정사업감사결과201.지방교육재정교부금제도운영실태202.지능정보화사업추진실태32(지능정보사회실행계획추진체계를중심으로)3.신재생에너지,2_높음\20240530_2023회계연도 국가결산검사.zip
높음,2022,20220906_아동권리보장원과 한국자활복지개발원에 대한 감사.pdf,아동권리보장원과 한국자활복지개발원에 대한 감사,기관정기,보건/복지,사회복지1과,138,"정보화사업(1), 정보시스템(135), 시스템운영(2)",2,98,필수항목누락및연계·제공미흡(주의·통보)·······23(3)자활정보시스템의자활지원사업관리기능미흡(통보)··················,2_높음\20220906_아동권리보장원과 한국자활복지개발원에 대한 감사.pdf
