연도,보고서,지적사항,처분,출처,제목내키워드
2026,20260728_공공전산망 보안관리 실태(과학기술연구분야).pdf,1-4. 연구기관 서버 관리 및 보안 취약점 개선조치 미흡,,목차,
2026,20260728_공공전산망 보안관리 실태(과학기술연구분야).pdf,1-5. 악성메일 수신 차단을 위한 대책 미비,,목차,
2026,20260728_공공전산망 보안관리 실태(과학기술연구분야).pdf,1-6. 보안 권고 사항의 후속조치 및 관리체계 부실,,목차,
2026,20260728_공공전산망 보안관리 실태(과학기술연구분야).pdf,2-1. 연구자료 부당 유출 방지대책 부재,,목차,
2026,20260728_공공전산망 보안관리 실태(과학기술연구분야).pdf,[표 7] 연구기관별 서버 관리대장 관리방법 및 보안관리 누락 사유,,목차,
2026,20260610_주요 농업정책자금 지원사업 운영실태.pdf,지원 강화 필요(통보),,목차,
2026,20260610_주요 농업정책자금 지원사업 운영실태.pdf,농업정책자금의 집행률 및 성과 관리 강화 필요(통보),,목차,
2026,20260610_주요 농업정책자금 지원사업 운영실태.pdf,명확화 필요(통보),,목차,
2026,20260610_주요 농업정책자금 지원사업 운영실태.pdf,심사방식 개선 필요(통보),,목차,
2026,20260610_주요 농업정책자금 지원사업 운영실태.pdf,농촌융복합산업자금 지원대상 확대 필요(통보),,목차,
2026,20260610_주요 농업정책자금 지원사업 운영실태.pdf,방식 개선 필요(통보),,목차,
2026,20260610_주요 농업정책자금 지원사업 운영실태.pdf,사후관리 및 감독 미흡(주의),,목차,
2026,20260610_주요 농업정책자금 지원사업 운영실태.pdf,정부 정책에 부합하는 보증심사기준 운영 필요(통보),,목차,
2026,20260610_주요 농업정책자금 지원사업 운영실태.pdf,적정성 검토 필요(통보),,목차,
2026,20260610_주요 농업정책자금 지원사업 운영실태.pdf,설정 등으로 중복보증 해소 필요(통보),,목차,
2026,20260610_주요 농업정책자금 지원사업 운영실태.pdf,자동기한연장 대상자 선정절차 개선 필요(통보),,목차,
2026,20260610_주요 농업정책자금 지원사업 운영실태.pdf,보증대상자에 대한 사망정보 관리 필요(통보),,목차,
2026,20260610_주요 농업정책자금 지원사업 운영실태.pdf,재기지원보증 보증심사 및 사후관리 부실(주의),,목차,
2026,20260610_주요 농업정책자금 지원사업 운영실태.pdf,지원 강화 필요,통보,통보,
2026,20260610_주요 농업정책자금 지원사업 운영실태.pdf,농업정책자금의 집행률 및 성과 관리 강화 필요,통보,통보,
2026,20260610_주요 농업정책자금 지원사업 운영실태.pdf,농업정책자금의 유사·중복사업 통폐합 운영 등 필요,통보,통보,
2026,20260610_주요 농업정책자금 지원사업 운영실태.pdf,경영회생지원 농지매입사업 고정 환매요율의 주기적 검토 필요,통보,통보,
2026,20260610_주요 농업정책자금 지원사업 운영실태.pdf,기술창업자금의 창업기업 등에 대한 지원 강화 필요,통보,통보,
2026,20260610_주요 농업정책자금 지원사업 운영실태.pdf,농어업 겸업 직장인 및 60세 초과자에 대한 소득 확인 미흡,주의,주의,
2026,20260610_주요 농업정책자금 지원사업 운영실태.pdf,농어업 겸업 직장인에 대한 보증제한의 예외규정 불합리 등,통보,통보,
2026,20260610_주요 농업정책자금 지원사업 운영실태.pdf,개인사업자의 사업소득에 대한 보증지원제한 기준 마련 필요,통보,통보,
2026,20260610_주요 농업정책자금 지원사업 운영실태.pdf,사회적 취약계층에 대한 채무조정 안내 강화 필요,통보,통보,
2026,20260610_주요 농업정책자금 지원사업 운영실태.pdf,심사방식 개선 필요,통보,통보,
2026,20260610_주요 농업정책자금 지원사업 운영실태.pdf,농촌융복합산업자금 지원대상 확대 필요,통보,통보,
2026,20260610_주요 농업정책자금 지원사업 운영실태.pdf,방식 개선 필요,통보,통보,
2026,20260610_주요 농업정책자금 지원사업 운영실태.pdf,사후관리 및 감독 미흡,주의,주의,
2026,20260610_주요 농업정책자금 지원사업 운영실태.pdf,효과적인 농업정책자금 검사를 위한 행정정보 연계 필요,통보,통보,
2026,20260610_주요 농업정책자금 지원사업 운영실태.pdf,정부 정책에 부합하는 보증심사기준 운영 필요,통보,통보,
2026,20260610_주요 농업정책자금 지원사업 운영실태.pdf,적정성 검토 필요,통보,통보,
2026,20260610_주요 농업정책자금 지원사업 운영실태.pdf,설정 등으로 중복보증 해소 필요,통보,통보,
2026,20260610_주요 농업정책자금 지원사업 운영실태.pdf,부동산 위주의 구상채권 회수 다변화 방안 모색 필요,통보,통보,
2026,20260610_주요 농업정책자금 지원사업 운영실태.pdf,자동기한연장 대상자 선정절차 개선 필요,통보,통보,
2026,20260610_주요 농업정책자금 지원사업 운영실태.pdf,보증대상자에 대한 사망정보 관리 필요,통보,통보,
2026,20260610_주요 농업정책자금 지원사업 운영실태.pdf,재기지원보증 보증심사 및 사후관리 부실,주의,주의,
2026,20260610_주요 농업정책자금 지원사업 운영실태.pdf,갱신보증 승인 전 보증조건 위반 여부 점검 방안 마련 필요,통보,통보,
2026,20260529_2025회계연도 국가결산검사.zip,[부록1] 재무제표결산검사오류사항목록,,목차,
2026,20260529_2025회계연도 국가결산검사.zip,산업단지규제개선추진실태,,목차,
2026,20260529_2025회계연도 국가결산검사.zip,법무부·검찰청·검사의헌법·법령위반등관련,,목차,
2026,20260319_조달청 정기감사.pdf,1-3. 부적격 제품 지정 등 혁신제품 지정·관리 부실[통보],,목차,
2026,20260319_조달청 정기감사.pdf,1-5. 중소 조달기업 대상 네트워크론 확대방안 강구 필요[통보],,목차,
2026,20260304_대한체육회 운영 및 관리·감독실태.pdf,종합결론: 문체부의 지도·감독 및 내부지배구조 개선 필요,,목차,
2026,20260304_대한체육회 운영 및 관리·감독실태.pdf,[표 16] 입촌훈련 실적이 저조한 사유,,목차,
2026,20260304_대한체육회 운영 및 관리·감독실태.pdf,[표 27] 윤리센터 징계정보시스템 입력 누락 현황,,목차,정보시스템
2026,20260223_코로나19 대응실태 진단 및 분석.pdf,[표 116] 1차 유행과 2차 유행 간 대한약사회가 보고한 공급 곤란 품목 비교,,목차,
2026,20260127_개인정보 보호 및 관리실태.pdf,공공시스템 보안 취약점 점검 미흡,,목차,
2026,20260127_개인정보 보호 및 관리실태.pdf,공공시스템 보안 취약점 점검 체계 마련 필요,,목차,
2026,20260127_개인정보 보호 및 관리실태.pdf,㊀㊆시스템 보안 취약점 점검 미흡,,목차,
2026,20260127_개인정보 보호 및 관리실태.pdf,다크웹 등 개인정보 불법유통에 적극적인 대응 필요,,목차,
2026,20260127_개인정보 보호 및 관리실태.pdf,웹사이트 현행화 누락 등 개인정보 노출탐지 부실 수행,,목차,
2026,20260127_개인정보 보호 및 관리실태.pdf,스팸 방지 등을 위한 휴대전화번호 암호화 대책 부재,,목차,
2026,20260127_개인정보 보호 및 관리실태.pdf,고유식별정보 실태조사 결과 실효성 확보 수단 미흡,,목차,
2026,20260127_개인정보 보호 및 관리실태.pdf,공공시스템에 대한 접근권한 및 접속기록 점검 미흡,,목차,
2026,20260127_개인정보 보호 및 관리실태.pdf,[표 36] 인사정보가 연계된 공공시스템의 접근권한 말소 누락 현황,,목차,
2026,20260115_국토교통부 기관정기감사(별도처리).pdf,미분양주택현황보고 통계 검증 방안 미흡(통보),,목차,
2026,20260115_국토교통부 기관정기감사(별도처리).pdf,미분양주택현황보고 통계 검증 방안 미흡,통보,통보,
2025,20251110_경찰청 및 서울·부산경찰청 정기감사.pdf,자치경찰제 도입 취지를 구현하기 위한 개선방안 마련 필요(통보),,목차,
2025,20251110_경찰청 및 서울·부산경찰청 정기감사.pdf,스토킹 범죄 피해 신고자에 대한 보호조치 미흡(통보2),,목차,
2025,20251110_경찰청 및 서울·부산경찰청 정기감사.pdf,국외도피사범에 대한 여권 무효화 조치 미이행(주의),,목차,
2025,20251110_경찰청 및 서울·부산경찰청 정기감사.pdf,자치경찰제 도입 취지를 구현하기 위한 개선방안 마련 필요,통보,통보,
2025,20251110_경찰청 및 서울·부산경찰청 정기감사.pdf,스토킹 범죄 피해 신고자에 대한 보호조치 미흡,통보2,통보2,
2025,20251110_경찰청 및 서울·부산경찰청 정기감사.pdf,아동·노인학대 사건 정보의 통보 누락 방지 등을 위한 시스템 개선 필요,통보2,통보2,
2025,20251110_경찰청 및 서울·부산경찰청 정기감사.pdf,국외도피사범에 대한 여권 무효화 조치 미이행,주의,주의,
2025,20251023_재난 및 안전관리체계 점검.pdf,제1절 분석의 필요성 및 대상,,목차,
2025,20251023_재난 및 안전관리체계 점검.pdf,[표 46] 재난유형별 행동매뉴얼에서 유사․ 중복되는 내용,,목차,
2025,20251023_재난 및 안전관리체계 점검.pdf,[표 55] 재난안전 대책 중 재난대비훈련 관련 문제점 및 개선방안,,목차,
2025,20251023_재난 및 안전관리체계 점검.pdf,[표 81] 최근 5년간 사상자 30명 이상 발생한 9개 재난에서의 사상자 현황파악 미흡 사례,,목차,
2025,20251023_재난 및 안전관리체계 점검.pdf,[그림 10] 재난대응 취약분야․ 취약요인 등,,목차,
2025,20251013_4차 산업혁명 대응점검Ⅳ(정보통신 인프라 위험대비 분야).pdf,[표 1] 통신 재난과 통신 장애 구분 기준,,목차,
2025,20250930_대국민 행정정보시스템 구축·운영실태.pdf,국통망 장애대응 분야,,목차,
2025,20250930_대국민 행정정보시스템 구축·운영실태.pdf,[1-가. 국통망 장애대응 분야],,목차,
2025,20250930_대국민 행정정보시스템 구축·운영실태.pdf,중요 이벤트 관제 및 전파 부실,,목차,
2025,20250930_대국민 행정정보시스템 구축·운영실태.pdf,복합장애 원인파악을 위한 체계적 접근 미흡,,목차,
2025,20250930_대국민 행정정보시스템 구축·운영실태.pdf,국민불편 최소화를 위한 대체사이트 안내 등 미흡,,목차,
2025,20250930_대국민 행정정보시스템 구축·운영실태.pdf,장애발생률이 높은 노후장비 교체 방안 부재,,목차,
2025,20250930_대국민 행정정보시스템 구축·운영실태.pdf,전산장비 패치 및 관제시스템 연동 미흡,,목차,
2025,20250930_대국민 행정정보시스템 구축·운영실태.pdf,행정정보시스템 등급제 관리 방안 마련 필요,,목차,정보시스템
2025,20250930_대국민 행정정보시스템 구축·운영실태.pdf,낮은 사업비 책정에 따른 우수업체 유치 한계,,목차,
2025,20250930_대국민 행정정보시스템 구축·운영실태.pdf,정보시스템 구축사업 사업기간 산정기준 개선 필요,,목차,정보시스템
2025,20250930_대국민 행정정보시스템 구축·운영실태.pdf,차세대 지방세입정보시스템 구축사업 관리 부실,,목차,정보시스템
2025,20250930_대국민 행정정보시스템 구축·운영실태.pdf,등급별 장애관리 방안,,목차,
2025,20250619_국토교통부 기관정기감사.pdf,[표 61] 제2경춘국도 건설사업의 총사업비 과소 산정 사례,,목차,
2025,20250619_국토교통부 기관정기감사.pdf,[표 62] 남부내륙철도 공사비 과소 산정 사례,,목차,
2025,20250619_국토교통부 기관정기감사.pdf,[표 104] 도로시설 항목 평가오류 내역,,목차,
2025,20250619_국토교통부 기관정기감사.pdf,[표 106] 제한속도 항목 평가오류 내역,,목차,
2025,20250619_국토교통부 기관정기감사.pdf,[표 107] 길어깨 폭 항목 평가오류 내역,,목차,
2025,20250619_국토교통부 기관정기감사.pdf,및 관리 불합리,통보,통보,
2025,20250619_국토교통부 기관정기감사.pdf,건설계획 부적정,통보,통보,
2025,20250530_2024회계연도 국가결산검사.zip,합격한 근로자에 대한 채용 신체검사비용 부담 개선 필요(통보),,목차,
2025,20250530_2024회계연도 국가결산검사.zip,운전직공무원 업무분장 부적정(주의),,목차,
2025,20250530_2024회계연도 국가결산검사.zip,신규직원 멘토링제도 운영 개선 필요(통보),,목차,
